ID	Changed	Total_AP	Changes	Original	Generated
BASIC5000_0365	4	5	平板→]@6(ochu]un) | 平板→]@3(ako]ga) | ]@3(isha]ge)→]@5(age]te) | ]@3(aka]mi)=同じ | ]@5(ida]shi)→]@3(obi]da)	^-y-u-[-s-o-o-ch-u-u-n-i-#-h-a-[-k-o-g-a-#-h-i-[-sh-a-]-g-e-t-e-_-n-a-[-k-a-]-m-i-g-a-#-t-o-[-b-i-d-a-]-sh-i-t-a-$	^-y-u-[-s-o-o-ch-u-]-u-n-i-#-h-a-[-k-o-]-g-a-#-h-i-[-sh-a-g-e-]-t-e-_-n-a-[-k-a-]-m-i-g-a-#-t-o-[-b-i-]-d-a-sh-i-t-a-$
BASIC5000_0366	5	7	]@1(ryo]ok)→]@4(oko]ku) | ]@5(ade]wa)→]@3(ida]de) | ]@7(ima]sa)→]@9(asa]tsu) | ]@0(i]tsu)=同じ | ]@6(ite]mo)→]@4(oji]te) | ]@2(oka]shi)→]@4(ashi]ku) | ]@1(na]i)=同じ	^-ry-o-]-o-k-o-k-u-n-o-#-a-[-i-d-a-d-e-]-w-a-_-b-o-[-o-e-k-i-m-a-]-s-a-ts-u-g-a-#-i-]-ts-u-#-sh-o-[-o-j-i-t-e-]-m-o-#-o-[-k-a-]-sh-i-k-u-#-n-a-]-i-$	^-ry-o-[-o-k-o-]-k-u-n-o-#-a-[-i-d-a-]-d-e-w-a-_-b-o-[-o-e-k-i-m-a-s-a-]-ts-u-g-a-#-i-]-ts-u-#-sh-o-[-o-j-i-]-t-e-m-o-#-o-[-k-a-sh-i-]-k-u-#-n-a-]-i-$
BASIC5000_0367	3	6	]@2(shio]o)=同じ | ]@13(asa]i)→]@11(uda]sa) | 平板=同じ | ]@1(ka]re)→]@3(are]wa) | 平板→]@3(ata]shi) | 平板=同じ	^-sh-i-[-o-]-o-#-m-a-[-w-a-sh-i-t-e-k-u-d-a-s-a-]-i-_-t-o-[-_-k-a-]-r-e-w-a-#-w-a-[-t-a-sh-i-n-i-#-i-[-cl-t-a-$	^-sh-i-[-o-]-o-#-m-a-[-w-a-sh-i-t-e-k-u-d-a-]-s-a-i-_-t-o-[-_-k-a-[-r-e-]-w-a-#-w-a-[-t-a-]-sh-i-n-i-#-i-[-cl-t-a-$
BASIC5000_0368	5	7	]@1(pu]ur)→]@4(uru]de) | ]@2(oyo]id)=同じ | 平板→]@6(ida]ni) | ]@1(ka]no)→]@5(ojo]wa) | ]@1(ro]clk)→]@4(clka]an) | ]@3(agi]o)=同じ | 平板→]@5(ushi]ta)	^-p-u-]-u-r-u-d-e-#-o-[-y-o-]-i-d-e-#-i-[-r-u-a-i-d-a-n-i-_-k-a-]-n-o-j-o-w-a-#-r-o-]-cl-k-a-a-n-o-#-k-a-[-g-i-]-o-#-n-a-[-k-u-sh-i-t-a-$	^-p-u-[-u-r-u-]-d-e-#-o-[-y-o-]-i-d-e-#-i-[-r-u-a-i-d-a-]-n-i-_-k-a-[-n-o-j-o-]-w-a-#-r-o-[-cl-k-a-]-a-n-o-#-k-a-[-g-i-]-o-#-n-a-[-k-u-sh-i-]-t-a-$
BASIC5000_0369	11	13	]@3(ubi]o)=同じ | 平板→]@3(uka]clt) | 平板→]@3(oku]ji) | ]@5(uko]to)→]@3(uru]ko) | ]@4(Nse]ek)→]@7(eki]ni) | 平板→]@3(ata]clt) | ]@8(eki]ta)→]@4(zui]te) | ]@1(ba]ka)→]@3(aka]ri) | 平板→]@5(ata]bi) | ]@5(oma]ru)=同じ | ]@5(ena]it)→]@3(ire]na) | ]@1(shi]Nj)→]@7(tei]ru) | 平板→]@8(moi]ru)	^-y-u-[-b-i-]-o-#-ts-u-[-k-a-cl-t-e-#-sh-o-[-k-u-j-i-o-#-s-u-[-r-u-k-o-]-t-o-w-a-_-n-a-[-N-s-e-]-e-k-i-n-i-m-o-#-w-a-[-t-a-cl-t-e-#-ts-u-[-z-u-i-t-e-k-i-]-t-a-#-b-a-]-k-a-r-i-d-e-n-a-k-u-_-f-u-[-t-a-t-a-b-i-#-h-i-[-r-o-m-a-]-r-u-k-a-m-o-#-sh-i-[-r-e-n-a-]-i-t-o-#-sh-i-]-N-j-i-t-e-i-r-u-#-g-a-[-k-u-sh-a-m-o-i-r-u-$	^-y-u-[-b-i-]-o-#-ts-u-[-k-a-]-cl-t-e-#-sh-o-[-k-u-]-j-i-o-#-s-u-[-r-u-]-k-o-t-o-w-a-_-n-a-[-N-s-e-e-k-i-]-n-i-m-o-#-w-a-[-t-a-]-cl-t-e-#-ts-u-[-z-u-i-]-t-e-k-i-t-a-#-b-a-[-k-a-]-r-i-d-e-n-a-k-u-_-f-u-[-t-a-t-a-]-b-i-#-h-i-[-r-o-m-a-]-r-u-k-a-m-o-#-sh-i-[-r-e-]-n-a-i-t-o-#-sh-i-[-N-j-i-t-e-i-]-r-u-#-g-a-[-k-u-sh-a-m-o-i-]-r-u-$
BASIC5000_0370	4	6	]@8(noa]to)=同じ | ]@1(mi]ru)→]@3(iru]to) | ]@8(noi]mi)→]@7(ono]im) | ]@1(ka]re)→]@5(eni]wa) | ]@5(iji]mi)=同じ | 平板→]@6(ira]re)	^-k-o-[-o-h-a-i-n-o-a-]-t-o-o-#-m-i-]-r-u-t-o-_-s-e-[-N-s-o-o-n-o-i-]-m-i-g-a-_-k-a-]-r-e-n-i-w-a-#-sh-i-[-m-i-j-i-]-m-i-t-o-#-k-a-[-N-j-i-r-a-r-e-t-a-$	^-k-o-[-o-h-a-i-n-o-a-]-t-o-o-#-m-i-[-r-u-]-t-o-_-s-e-[-N-s-o-o-n-o-]-i-m-i-g-a-_-k-a-[-r-e-n-i-]-w-a-#-sh-i-[-m-i-j-i-]-m-i-t-o-#-k-a-[-N-j-i-r-a-]-r-e-t-a-$
BASIC5000_0371	4	7	]@2(chie]to)→]@6(oyu]u) | ]@3(ono]wa)=同じ | ]@1(ta]Nn)=同じ | ]@1(ji]ji)→]@3(iji]tsu) | 平板→]@5(tei]ru) | ]@3(ake]de)→]@5(ede]wa) | ]@1(na]i)=同じ	^-ch-i-[-e-]-t-o-y-u-u-#-m-o-[-n-o-]-w-a-_-t-a-]-N-n-i-#-j-i-]-j-i-ts-u-o-#-sh-i-[-cl-t-e-i-r-u-#-d-a-[-k-e-]-d-e-w-a-#-n-a-]-i-$	^-ch-i-[-e-t-o-y-u-]-u-#-m-o-[-n-o-]-w-a-_-t-a-]-N-n-i-#-j-i-[-j-i-]-ts-u-o-#-sh-i-[-cl-t-e-i-]-r-u-#-d-a-[-k-e-d-e-]-w-a-#-n-a-]-i-$
BASIC5000_0372	4	5	]@1(be]ti)→]@3(eti]ig) | ]@1(pa]at)→]@4(ati]in) | ]@1(ki]ta)=同じ | 平板→]@4(isho]no) | ]@3(Nna]no)→]@7(oko]da)	^-b-e-]-t-i-i-g-a-#-p-a-]-a-t-i-i-n-i-#-k-i-]-t-a-#-s-a-[-i-sh-o-n-o-#-o-[-N-n-a-]-n-o-k-o-d-a-cl-t-a-$	^-b-e-[-t-i-]-i-g-a-#-p-a-[-a-t-i-]-i-n-i-#-k-i-]-t-a-#-s-a-[-i-sh-o-]-n-o-#-o-[-N-n-a-n-o-k-o-]-d-a-cl-t-a-$
BASIC5000_0373	4	6	]@1(be]cld)→]@6(ode]no) | 平板→]@3(aba]ko) | ]@4(Nzu]ru)=同じ | ]@5(ishi]i)→]@3(ibi]shi) | ]@1(ki]so)→]@3(iso]ku) | ]@0(a]ru)=同じ	^-b-e-]-cl-d-o-d-e-n-o-#-t-a-[-b-a-k-o-o-#-k-i-[-N-z-u-]-r-u-_-k-i-[-b-i-sh-i-]-i-#-k-i-]-s-o-k-u-g-a-#-a-]-r-u-$	^-b-e-[-cl-d-o-d-e-]-n-o-#-t-a-[-b-a-]-k-o-o-#-k-i-[-N-z-u-]-r-u-_-k-i-[-b-i-]-sh-i-i-#-k-i-[-s-o-]-k-u-g-a-#-a-]-r-u-$
BASIC5000_0374	4	6	]@5(iya]it)=同じ | ]@4(ubu]Nd)→]@11(ono]ko) | ]@11(ato]or)→]@7(are]ta) | ]@5(iya]it)→]@8(ita]de) | ]@7(uko]to)→]@5(uru]ko) | ]@3(ima]su)=同じ	^-b-e-[-n-i-y-a-]-i-t-a-d-e-#-j-u-[-u-b-u-]-N-d-a-t-o-n-o-k-o-t-o-_-o-[-sh-i-e-r-a-r-e-t-a-t-o-]-o-r-i-_-b-e-[-n-i-y-a-]-i-t-a-d-e-#-ts-u-[-k-u-r-u-k-o-]-t-o-n-i-#-sh-i-[-m-a-]-s-u-$	^-b-e-[-n-i-y-a-]-i-t-a-d-e-#-j-u-[-u-b-u-N-d-a-t-o-n-o-]-k-o-t-o-_-o-[-sh-i-e-r-a-r-e-]-t-a-t-o-o-r-i-_-b-e-[-n-i-y-a-i-t-a-]-d-e-#-ts-u-[-k-u-r-u-]-k-o-t-o-n-i-#-sh-i-[-m-a-]-s-u-$
BASIC5000_0375	3	5	]@6(ishi]clt)→]@3(ebi]ish) | 平板→]@2(aka]Nb) | ]@2(uta]o)=同じ | ]@2(uta]clt)=同じ | ]@9(eyo]ot)→]@12(oto]shi)	^-b-e-[-b-i-i-sh-i-]-cl-t-a-a-w-a-_-a-[-k-a-N-b-o-o-n-i-#-u-[-t-a-]-o-#-u-[-t-a-]-cl-t-e-#-n-e-[-ts-u-k-a-s-e-y-o-]-o-t-o-sh-i-t-a-$	^-b-e-[-b-i-]-i-sh-i-cl-t-a-a-w-a-_-a-[-k-a-]-N-b-o-o-n-i-#-u-[-t-a-]-o-#-u-[-t-a-]-cl-t-e-#-n-e-[-ts-u-k-a-s-e-y-o-o-t-o-]-sh-i-t-a-$
BASIC5000_0376	5	6	平板→]@11(ona]i) | ]@1(go]ga)→]@3(oga]tsu) | ]@5(Nju]un)=同じ | ]@1(sa]Nj)→]@4(Nju]u) | ]@6(ichi]wa)→]@2(ichi]ni) | ]@12(ima]su)→]@6(ooi]ta)	^-i-[-t-e-N-n-i-t-o-m-o-n-a-i-_-g-o-]-g-a-ts-u-#-s-a-[-N-N-j-u-]-u-n-i-ch-i-_-s-a-]-N-j-u-u-#-i-[-ch-i-n-i-ch-i-]-w-a-_-ky-u-[-u-gy-o-o-i-t-a-sh-i-m-a-]-s-u-$	^-i-[-t-e-N-n-i-t-o-m-o-n-a-]-i-_-g-o-[-g-a-]-ts-u-#-s-a-[-N-N-j-u-]-u-n-i-ch-i-_-s-a-[-N-j-u-]-u-#-i-[-ch-i-]-n-i-ch-i-w-a-_-ky-u-[-u-gy-o-o-i-]-t-a-sh-i-m-a-s-u-$
BASIC5000_0377	5	6	]@16(ito]wa)→]@10(eki]na) | ]@0(u]so)→]@2(uso]o) | ]@1(tsu]it)→]@4(ita]ri) | ]@3(ama]shi)=同じ | ]@3(usu]Nd)→]@6(Nda]ri) | 平板→]@3(ina]i)	^-d-o-[-o-t-o-k-u-t-e-k-i-n-a-h-i-t-o-]-w-a-_-u-]-s-o-o-#-ts-u-]-i-t-a-r-i-#-d-a-[-m-a-]-sh-i-t-a-r-i-_-n-u-[-s-u-]-N-d-a-r-i-#-sh-i-[-n-a-i-$	^-d-o-[-o-t-o-k-u-t-e-k-i-]-n-a-h-i-t-o-w-a-_-u-[-s-o-]-o-#-ts-u-[-i-t-a-]-r-i-#-d-a-[-m-a-]-sh-i-t-a-r-i-_-n-u-[-s-u-N-d-a-]-r-i-#-sh-i-[-n-a-]-i-$
BASIC5000_0378	4	5	]@1(be]ru)→]@3(eru]ga) | 平板→]@3(aru]to) | ]@1(su]gu)→]@3(ugu]ni) | ]@4(Nse]eg)=同じ | ]@1(ha]icl)→]@2(hai]clt)	^-b-e-]-r-u-g-a-#-n-a-[-r-u-t-o-_-s-u-]-g-u-n-i-#-s-e-[-N-s-e-]-e-g-a-#-h-a-]-i-cl-t-e-k-i-t-a-$	^-b-e-[-r-u-]-g-a-#-n-a-[-r-u-]-t-o-_-s-u-[-g-u-]-n-i-#-s-e-[-N-s-e-]-e-g-a-#-h-a-[-i-]-cl-t-e-k-i-t-a-$
BASIC5000_0379	4	6	平板→]@5(uba]N) | ]@1(ka]re)→]@3(are]wa) | ]@4(clko]ri)=同じ | 平板→]@3(ata]shi) | ]@3(azu]ne)→]@5(une]te) | ]@1(ki]ta)=同じ	^-s-a-[-k-u-b-a-N-_-k-a-]-r-e-w-a-#-hy-o-[-cl-k-o-]-r-i-#-w-a-[-t-a-sh-i-o-#-t-a-[-z-u-]-n-e-t-e-#-k-i-]-t-a-$	^-s-a-[-k-u-b-a-]-N-_-k-a-[-r-e-]-w-a-#-hy-o-[-cl-k-o-]-r-i-#-w-a-[-t-a-]-sh-i-o-#-t-a-[-z-u-n-e-]-t-e-#-k-i-]-t-a-$
BASIC5000_0380	3	6	]@1(be]Nw)=同じ | ]@11(oto]o)→]@5(tei]ru) | ]@1(su]be)→]@3(ube]te) | ]@4(Ngo]shi)→]@6(oshi]ni) | ]@3(ana]su)=同じ | 平板=同じ	^-b-e-]-N-w-a-_-sh-i-[-cl-t-e-i-r-u-k-o-t-o-]-o-#-s-u-]-b-e-t-e-#-b-e-[-N-g-o-]-sh-i-n-i-#-h-a-[-n-a-]-s-u-k-o-t-o-n-i-#-sh-i-[-t-a-$	^-b-e-]-N-w-a-_-sh-i-[-cl-t-e-i-]-r-u-k-o-t-o-o-#-s-u-[-b-e-]-t-e-#-b-e-[-N-g-o-sh-i-]-n-i-#-h-a-[-n-a-]-s-u-k-o-t-o-n-i-#-sh-i-[-t-a-$
BASIC5000_0381	4	6	]@4(eto]ob)=同じ | ]@12(oro]ni)→]@2(pia]no) | 平板=同じ | 平板→]@5(eni]mu) | 平板→]@3(uwa]ri) | ]@9(ime]ru)→]@7(aji]me)	^-b-e-[-e-t-o-]-o-b-e-N-w-a-_-p-i-[-a-n-o-n-o-t-o-k-o-r-o-]-n-i-#-i-[-k-i-_-s-o-[-r-e-n-i-m-u-k-a-cl-t-e-#-s-u-[-w-a-r-i-_-h-i-[-k-i-h-a-j-i-m-e-]-r-u-$	^-b-e-[-e-t-o-]-o-b-e-N-w-a-_-p-i-[-a-]-n-o-n-o-t-o-k-o-r-o-n-i-#-i-[-k-i-_-s-o-[-r-e-n-i-]-m-u-k-a-cl-t-e-#-s-u-[-w-a-]-r-i-_-h-i-[-k-i-h-a-j-i-]-m-e-r-u-$
BASIC5000_0382	4	5	]@3(oro]wa)=同じ | ]@1(to]ok)→]@4(oki]o) | ]@3(uku]ru)→]@7(uno]ni) | 平板→]@3(itsu]yo) | ]@4(iryo]od)→]@7(ode]su)	^-d-o-[-r-o-]-w-a-_-t-o-]-o-k-i-o-#-ts-u-[-k-u-]-r-u-n-o-n-i-#-h-i-[-ts-u-y-o-o-n-a-#-z-a-[-i-ry-o-]-o-d-e-s-u-$	^-d-o-[-r-o-]-w-a-_-t-o-[-o-k-i-]-o-#-ts-u-[-k-u-r-u-n-o-]-n-i-#-h-i-[-ts-u-]-y-o-o-n-a-#-z-a-[-i-ry-o-o-d-e-]-s-u-$
BASIC5000_0383	5	6	平板→]@3(etsu]no) | 平板→]@4(Nra]ku) | ]@1(ka]re)→]@3(are]wa) | ]@1(ko]Nm)→]@4(Nma]o) | ]@3(ito]tsu)=同じ | 平板→]@2(ire]ta)	^-b-e-[-ts-u-n-o-#-d-a-[-N-r-a-k-u-d-e-_-k-a-]-r-e-w-a-#-k-o-]-N-m-a-o-#-h-i-[-t-o-]-ts-u-#-i-[-r-e-t-a-$	^-b-e-[-ts-u-]-n-o-#-d-a-[-N-r-a-]-k-u-d-e-_-k-a-[-r-e-]-w-a-#-k-o-[-N-m-a-]-o-#-h-i-[-t-o-]-ts-u-#-i-[-r-e-]-t-a-$
BASIC5000_0384	5	6	]@7(iku]ra)→]@9(ura]i) | ]@7(ope]clt)→]@10(clto]ni) | ]@2(esa]o)=同じ | 平板→]@2(ata]er) | 平板→]@3(itsu]yo) | ]@4(ima]su)→]@8(uka]?)	^-n-a-[-N-k-a-i-k-u-]-r-a-i-#-k-i-[-m-i-n-o-p-e-]-cl-t-o-n-i-#-e-[-s-a-]-o-#-a-[-t-a-e-r-u-#-h-i-[-ts-u-y-o-o-g-a-#-a-[-r-i-m-a-]-s-u-k-a-?-$	^-n-a-[-N-k-a-i-k-u-r-a-]-i-#-k-i-[-m-i-n-o-p-e-cl-t-o-]-n-i-#-e-[-s-a-]-o-#-a-[-t-a-]-e-r-u-#-h-i-[-ts-u-]-y-o-o-g-a-#-a-[-r-i-m-a-s-u-k-a-]-?-$
BASIC5000_0385	4	5	]@15(ayo]ku)→]@5(ano]ki) | ]@3(aka]ru)=同じ | 平板→]@2(kui]clp) | ]@1(na]ig)→]@2(nai]ga) | ]@0(u]et)→]@1(ue]te)	^-b-u-[-t-a-n-o-k-i-m-o-ch-i-g-a-y-o-]-k-u-#-w-a-[-k-a-]-r-u-_-k-u-[-i-cl-p-a-g-u-r-e-w-a-#-n-a-]-i-g-a-_-u-]-e-t-e-i-r-u-$	^-b-u-[-t-a-n-o-]-k-i-m-o-ch-i-g-a-y-o-k-u-#-w-a-[-k-a-]-r-u-_-k-u-[-i-]-cl-p-a-g-u-r-e-w-a-#-n-a-[-i-]-g-a-_-u-[-e-]-t-e-i-r-u-$
BASIC5000_0386	3	5	]@1(ki]ba)→]@3(iba]mo) | ]@6(use]ni)→]@4(iku]se) | ]@6(aku]ru)=同じ | ]@2(inu]to)=同じ | ]@4(gau]Nd)→]@3(iga]uN)	^-k-i-]-b-a-m-o-#-n-a-[-i-k-u-s-e-]-n-i-#-h-o-[-e-m-a-k-u-]-r-u-#-i-[-n-u-]-t-o-w-a-#-ch-i-[-g-a-u-]-N-d-a-$	^-k-i-[-b-a-]-m-o-#-n-a-[-i-k-u-]-s-e-n-i-#-h-o-[-e-m-a-k-u-]-r-u-#-i-[-n-u-]-t-o-w-a-#-ch-i-[-g-a-]-u-N-d-a-$
BASIC5000_0387	3	8	]@5(ura]re)=同じ | ]@3(ono]de)=同じ | ]@7(ata]ni)→]@3(ono]ka) | ]@3(ora]zu)=同じ | ]@1(de]ki)→]@3(eki]ta) | ]@3(ono]wa)=同じ | 平板→]@5(otsu]mo) | ]@1(na]i)=同じ	^-ts-u-[-k-u-r-a-]-r-e-t-a-#-m-o-[-n-o-]-d-e-_-k-o-[-n-o-k-a-t-a-]-n-i-#-y-o-[-r-a-]-z-u-#-d-e-]-k-i-t-a-#-m-o-[-n-o-]-w-a-#-h-i-[-t-o-ts-u-m-o-#-n-a-]-i-$	^-ts-u-[-k-u-r-a-]-r-e-t-a-#-m-o-[-n-o-]-d-e-_-k-o-[-n-o-]-k-a-t-a-n-i-#-y-o-[-r-a-]-z-u-#-d-e-[-k-i-]-t-a-#-m-o-[-n-o-]-w-a-#-h-i-[-t-o-ts-u-]-m-o-#-n-a-]-i-$
BASIC5000_0388	3	4	平板→]@6(ese]Nn) | ]@1(ka]na)→]@3(ana]ta) | 平板=同じ | ]@7(ika]ke)→]@3(izu]mi)	^-ch-i-[-h-e-e-s-e-N-n-o-#-k-a-]-n-a-t-a-n-i-_-h-i-[-g-a-#-sh-i-[-z-u-m-i-k-a-]-k-e-t-e-i-r-u-$	^-ch-i-[-h-e-e-s-e-]-N-n-o-#-k-a-[-n-a-]-t-a-n-i-_-h-i-[-g-a-#-sh-i-[-z-u-]-m-i-k-a-k-e-t-e-i-r-u-$
BASIC5000_0389	9	10	]@3(ata]as)→]@6(aso]Nn) | ]@7(Nde]wa)→]@4(clke]Nd) | ]@5(opu]clt)=同じ | 平板→]@5(tai]ga) | ]@3(eza]iN)→]@7(Nsa]re) | 平板→]@5(eru]to) | 平板→]@4(Nze]Nn) | ]@7(uru]ka)→]@5(isu]ru) | ]@1(do]ok)→]@2(doo]ka) | ]@3(ume]ek)→]@8(aku]de)	^-p-a-[-t-a-]-a-s-o-N-n-o-#-j-i-[-cl-k-e-N-d-e-]-w-a-_-a-[-u-t-o-p-u-]-cl-t-o-s-a-r-e-t-a-#-b-u-[-cl-t-a-i-g-a-#-d-e-[-z-a-]-i-N-s-a-r-e-t-a-#-m-o-[-d-e-r-u-t-o-_-k-a-[-N-z-e-N-n-i-#-i-[-cl-ch-i-s-u-r-u-]-k-a-#-d-o-]-o-k-a-#-f-u-[-m-e-]-e-k-a-k-u-d-e-a-r-u-$	^-p-a-[-t-a-a-s-o-]-N-n-o-#-j-i-[-cl-k-e-]-N-d-e-w-a-_-a-[-u-t-o-p-u-]-cl-t-o-s-a-r-e-t-a-#-b-u-[-cl-t-a-i-]-g-a-#-d-e-[-z-a-i-N-s-a-]-r-e-t-a-#-m-o-[-d-e-r-u-]-t-o-_-k-a-[-N-z-e-]-N-n-i-#-i-[-cl-ch-i-s-u-]-r-u-k-a-#-d-o-[-o-]-k-a-#-f-u-[-m-e-e-k-a-k-u-]-d-e-a-r-u-$
BASIC5000_0390	5	5	平板→]@3(aso]ko) | 平板→]@3(uwa]e) | ]@7(ide]Nw)→]@4(eta]id) | 平板→]@3(iyo]og) | 平板→]@3(ano]od)	^-p-a-[-s-o-k-o-N-n-i-#-k-u-[-w-a-e-_-k-e-[-e-t-a-i-d-e-]-N-w-a-d-e-n-o-#-r-i-[-y-o-o-g-a-#-k-a-[-n-o-o-d-e-s-u-$	^-p-a-[-s-o-]-k-o-N-n-i-#-k-u-[-w-a-]-e-_-k-e-[-e-t-a-]-i-d-e-N-w-a-d-e-n-o-#-r-i-[-y-o-]-o-g-a-#-k-a-[-n-o-]-o-d-e-s-u-$
BASIC5000_0391	4	4	]@1(pa]zu)→]@3(azu]ru) | 平板→]@3(oko]no) | ]@1(bu]bu)→]@3(ubu]Ng) | ]@6(ara]na)→]@2(shia]ga)	^-p-a-]-z-u-r-u-n-o-#-k-o-[-k-o-n-o-#-b-u-]-b-u-N-g-a-#-sh-i-[-a-g-a-r-a-]-n-a-i-$	^-p-a-[-z-u-]-r-u-n-o-#-k-o-[-k-o-]-n-o-#-b-u-[-b-u-]-N-g-a-#-sh-i-[-a-]-g-a-r-a-n-a-i-$
BASIC5000_0392	4	5	]@7(asu]ga)→]@3(aja]ma) | ]@3(ura]ia)→]@5(aia]Ng) | 平板→]@3(oze]Nch) | ]@1(ie]de)=同じ | ]@1(do]ku)→]@10(tei]ru)	^-p-a-[-j-a-m-a-s-u-]-g-a-t-a-n-o-#-b-u-[-r-a-]-i-a-N-g-a-_-g-o-[-z-e-N-ch-u-u-_-i-[-e-]-d-e-#-d-o-]-k-u-sh-o-sh-i-t-e-i-r-u-$	^-p-a-[-j-a-]-m-a-s-u-g-a-t-a-n-o-#-b-u-[-r-a-i-a-]-N-g-a-_-g-o-[-z-e-]-N-ch-u-u-_-i-[-e-]-d-e-#-d-o-[-k-u-sh-o-sh-i-t-e-i-]-r-u-$
BASIC5000_0393	2	5	]@5(upo]ot)=同じ | ]@7(ara]na)→]@3(itsu]ka) | ]@1(to]ki)=同じ | 平板→]@3(ote]mo) | ]@2(ase]clt)=同じ	^-p-a-[-s-u-p-o-]-o-t-o-g-a-#-m-i-[-ts-u-k-a-r-a-]-n-a-k-a-cl-t-a-#-t-o-]-k-i-_-t-o-[-t-e-m-o-#-a-[-s-e-]-cl-t-a-$	^-p-a-[-s-u-p-o-]-o-t-o-g-a-#-m-i-[-ts-u-]-k-a-r-a-n-a-k-a-cl-t-a-#-t-o-]-k-i-_-t-o-[-t-e-]-m-o-#-a-[-s-e-]-cl-t-a-$
BASIC5000_0394	3	6	]@10(udo]or)→]@8(clku]do) | ]@2(iku]ni)→]@4(uni]wa) | 平板=同じ | ]@1(ba]su)→]@3(asu]de) | ]@0(i]iN)=同じ | ]@3(esho]ok)=同じ	^-p-a-[-sh-i-f-i-cl-k-u-d-o-]-o-r-i-n-i-#-i-[-k-u-]-n-i-w-a-_-k-o-[-n-o-#-b-a-]-s-u-d-e-#-i-]-i-N-#-d-e-[-sh-o-]-o-k-a-$	^-p-a-[-sh-i-f-i-cl-k-u-]-d-o-o-r-i-n-i-#-i-[-k-u-n-i-]-w-a-_-k-o-[-n-o-#-b-a-[-s-u-]-d-e-#-i-]-i-N-#-d-e-[-sh-o-]-o-k-a-$
BASIC5000_0395	7	7	平板→]@5(kai]no) | ]@7(oho]sha)→]@9(osha]wa) | 平板→]@3(ate]en) | ]@1(ka]chi)→]@3(achi]ni) | ]@1(tsu]it)→]@2(tsui]te) | ]@1(gi]ro)→]@3(iro]N) | ]@5(eki]da)→]@3(ube]ki)	^-s-e-[-e-k-a-i-n-o-#-r-i-[-cl-k-o-o-h-o-]-sh-a-w-a-_-k-a-[-t-e-e-n-o-#-k-a-]-ch-i-n-i-#-ts-u-]-i-t-e-#-g-i-]-r-o-N-#-s-u-[-b-e-k-i-]-d-a-$	^-s-e-[-e-k-a-i-]-n-o-#-r-i-[-cl-k-o-o-h-o-sh-a-]-w-a-_-k-a-[-t-e-]-e-n-o-#-k-a-[-ch-i-]-n-i-#-ts-u-[-i-]-t-e-#-g-i-r-o-]-N-#-s-u-[-b-e-]-k-i-d-a-$
BASIC5000_0396	5	6	]@1(pa]ue)→]@3(aue]ru) | 平板→]@4(eko]ku) | ]@7(ucho]ok)→]@3(oku]mu) | 平板→]@6(ichi]chu) | ]@1(ji]ke)→]@3(ike]Nw) | ]@2(oko]clt)=同じ	^-p-a-]-u-e-r-u-#-b-e-[-e-k-o-k-u-#-k-o-[-k-u-m-u-ch-o-]-o-k-a-N-n-o-#-r-a-[-i-n-i-ch-i-ch-u-u-_-j-i-]-k-e-N-w-a-#-o-[-k-o-]-cl-t-a-$	^-p-a-[-u-e-]-r-u-#-b-e-[-e-k-o-]-k-u-#-k-o-[-k-u-]-m-u-ch-o-o-k-a-N-n-o-#-r-a-[-i-n-i-ch-i-]-ch-u-u-_-j-i-[-k-e-]-N-w-a-#-o-[-k-o-]-cl-t-a-$
BASIC5000_0397	4	5	平板→]@10(wae]ta) | 平板=同じ | ]@1(shi]Nsh)→]@4(Nshi]wa) | 平板→]@4(ume]en) | 平板→]@7(Nka]de)	^-p-a-[-i-p-u-o-k-u-w-a-e-t-a-#-s-o-[-n-o-#-sh-i-]-N-sh-i-w-a-_-y-u-[-u-m-e-e-n-a-#-hy-o-[-o-r-o-N-k-a-d-e-s-u-$	^-p-a-[-i-p-u-o-k-u-w-a-e-]-t-a-#-s-o-[-n-o-#-sh-i-[-N-sh-i-]-w-a-_-y-u-[-u-m-e-]-e-n-a-#-hy-o-[-o-r-o-N-k-a-]-d-e-s-u-$
BASIC5000_0398	3	4	]@9(uma]en)=同じ | ]@1(to]ir)→]@4(ire]ni) | ]@4(ana]ku)→]@6(aku]te) | ]@0(i]in)→]@3(ino]?)	^-d-e-[-k-a-k-e-r-u-m-a-]-e-n-i-_-t-o-]-i-r-e-n-i-#-i-[-k-a-n-a-]-k-u-t-e-#-i-]-i-n-o-?-$	^-d-e-[-k-a-k-e-r-u-m-a-]-e-n-i-_-t-o-[-i-r-e-]-n-i-#-i-[-k-a-n-a-k-u-]-t-e-#-i-[-i-n-o-]-?-$
BASIC5000_0399	3	4	平板→]@7(ose]Ng) | 平板→]@6(tei]ru) | 平板=同じ | ]@3(uru]no)→]@9(esu]ga)	^-h-e-[-N-t-o-o-s-e-N-g-a-#-h-a-[-r-e-t-e-i-r-u-#-k-i-[-g-a-#-s-u-[-r-u-]-n-o-d-e-s-u-g-a-$	^-h-e-[-N-t-o-o-s-e-]-N-g-a-#-h-a-[-r-e-t-e-i-]-r-u-#-k-i-[-g-a-#-s-u-[-r-u-n-o-d-e-s-u-]-g-a-$
